frame,count
798,8
799,6
800,6
801,6
802,6
803,6
804,7
805,5
806,7
807,8
808,8
809,8
810,9
811,8
812,10
813,10
814,6
815,6
816,9
817,10
818,7
819,10
820,12
821,12
822,11
823,9
824,12
825,9
826,9
827,8
828,12
829,10
830,8
831,10
832,10
833,10
834,8
835,10
836,9
837,9
838,12
839,11
840,13
841,12
842,13
843,12
844,11
845,12
846,11
847,11
848,12
849,8
850,12
851,8
852,11
853,12
854,10
855,10
856,10
857,11
858,10
859,9
860,12
861,10
862,10
863,10
864,10
865,9
866,9
867,9
868,7
869,9
870,7
871,7
872,8
873,9
874,8
875,7
876,7
877,8
878,7
879,8
880,7
881,7
882,9
883,11
884,11
885,10
886,10
887,8
888,8
889,7
890,7
891,5
892,6
893,5
894,6
895,9
896,11
897,10
898,11
899,9
900,8
901,9
902,10
903,9
904,10
905,10
906,12
907,12
908,9
909,9
910,7
911,7
912,8
913,7
914,6
915,8
916,9
917,10
918,10
919,10
920,10
921,7
922,10
923,10
924,9
925,12
926,10
927,10
928,11
929,12
930,12
931,10
932,13
933,10
934,10
935,11
936,8
937,9
938,11
939,11
940,8
941,9
942,8
943,10
944,7
945,9
946,9
947,10
948,12
949,12
950,12
951,10
952,9
953,11
954,13
955,12
956,11
957,12
958,10
959,9
960,11
961,9
962,9
963,11
964,11
965,11
966,10
967,10
968,10
969,12
970,8
971,9
972,11
973,11
974,10
975,9
976,10
977,10
978,13
979,13
980,12
981,9
982,9
983,9
984,9
985,8
986,10
987,9
988,9
989,9
990,9
991,10
992,10
993,10
994,8
995,12
996,11
997,12
998,11
999,13
1000,14
1001,12
1002,11
1003,10
1004,9
1005,7
1006,6
1007,8
1008,8
1009,8
1010,8
1011,7
1012,7
1013,10
1014,9
1015,9
1016,10
1017,7
1018,9
1019,10
1020,11
1021,10
1022,10
1023,10
1024,9
1025,10
1026,9
1027,11
1028,8
1029,7
1030,8
1031,7
1032,11
1033,10
1034,10
1035,8
1036,9
1037,9
1038,7
1039,11
1040,11
1041,12
1042,12
1043,9
1044,9
1045,10
1046,9
1047,9
1048,11
1049,11
1050,9
1051,11
1052,11
1053,11
1054,11
1055,13
1056,13
1057,14
1058,13
1059,14
1060,10
1061,9
1062,9
1063,11
1064,12
1065,10
1066,9
1067,10
1068,10
1069,10
1070,9
